iter	Passed	Remaining
555	6596	17131
556	6614	17134
557	6631	17137
558	6648	17137
559	6666	17142
560	6684	17144
561	6699	17142
562	6718	17147
563	6735	17150
564	6750	17145
565	6764	17139
566	6778	17131
567	6795	17131
568	6811	17130
569	6828	17131
570	6841	17121
571	6853	17108
572	6868	17106
573	6887	17111
574	6904	17111
575	6922	17114
576	6940	17116
577	6956	17114
578	6971	17109
579	6985	17101
580	6998	17092
581	7011	17084
582	7027	17080
583	7044	17081
584	7068	17098
585	7086	17098
586	7102	17096
587	7118	17093
588	7134	17091
589	7148	17083
590	7163	17079
591	7178	17073
592	7191	17062
593	7201	17045
594	7210	17025
595	7219	17008
596	7232	16996
597	7247	16991
598	7265	16993
599	7282	16991
600	7300	16995
601	7317	16993
602	7333	16990
603	7351	16991
604	7369	16992
605	7384	16986
606	7398	16978
607	7412	16971
608	7425	16961
609	7440	16954
610	7458	16955
611	7472	16946
612	7486	16938
613	7498	16927
614	7511	16915
615	7524	16905
616	7539	16900
617	7553	16892
618	7567	16882
619	7582	16876
620	7596	16868
621	7610	16859
622	7624	16851
623	7638	16844
624	7654	16840
625	7674	16844
626	7689	16838
627	7698	16819
628	7709	16804
629	7723	16796
630	7737	16788
631	7752	16780
632	7767	16775
633	7785	16773
634	7801	16769
635	7816	16764
636	7832	16759
637	7851	16761
638	7870	16762
639	7889	16765
640	7909	16769
641	7926	16766
642	7943	16764
643	7957	16755
644	7975	16753
645	7991	16749
646	8004	16739
647	8017	16727
648	8029	16714
649	8043	16706
650	8059	16700
651	8075	16695
652	8090	16688
653	8106	16683
654	8123	16680
655	8138	16674
656	8156	16672
657	8170	16663
658	8184	16655
659	8199	16648
660	8216	16643
661	8232	16639
662	8246	16629
663	8261	16623
664	8276	16614
665	8292	16609
666	8307	16602
667	8324	16599
668	8340	16594
669	8356	16588
670	8386	16610
671	8403	16607
672	8419	16601
673	8434	16594
674	8446	16580
675	8460	16569
676	8474	16560
677	8486	16548
678	8496	16530
679	8506	16512
680	8515	16493
681	8524	16474
682	8534	16456
683	8541	16434
684	8550	16414
685	8557	16391
686	8566	16372
687	8574	16351
688	8584	16333
689	8592	16312
690	8600	16292
691	8608	16272
692	8619	16257
693	8628	16238
694	8638	16220
695	8651	16209
696	8663	16196
697	8676	16185
698	8687	16169
699	8697	16151
700	8706	16132
701	8714	16113
702	8723	16094
703	8733	16077
704	8742	16058
705	8752	16041
706	8763	16027
707	8778	16020
708	8792	16009
709	8802	15993
710	8811	15975
711	8821	15958
712	8832	15942
713	8844	15930
714	8855	15915
715	8866	15900
716	8877	15885
717	8887	15868
718	8896	15851
719	8905	15831
720	8913	15811
721	8921	15792
722	8931	15776
723	8943	15762
724	8954	15748
725	8964	15731
726	8973	15712
727	8981	15693
728	8990	15675
729	8998	15655
730	9009	15640
731	9019	15624
732	9029	15607
733	9038	15590
734	9052	15579
735	9068	15573
736	9084	15568
737	9099	15560
738	9114	15551
739	9126	15539
740	9139	15528
741	9151	15515
742	9165	15505
743	9180	15497
744	9193	15486
745	9207	15477
746	9222	15469
747	9238	15463
748	9254	15457
749	9268	15448
750	9280	15434
751	9291	15420
752	9305	15409
753	9318	15398
754	9334	15392
755	9350	15385
756	9360	15370
757	9369	15352
758	9378	15333
759	9387	15316
760	9395	15297
761	9403	15277
762	9411	15258
763	9421	15242
764	9432	15227
765	9442	15212
766	9451	15194
767	9461	15177
768	9469	15159
769	9479	15142
770	9489	15125
771	9497	15107
772	9507	15090
773	9515	15072
774	9525	15056
775	9537	15043
776	9548	15029
777	9557	15011
778	9569	14998
779	9583	14989
780	9594	14975
781	9605	14960
782	9616	14946
783	9626	14930
784	9635	14914
785	9645	14897
786	9655	14882
787	9666	14867
788	9676	14852
789	9687	14837
790	9699	14824
791	9713	14815
792	9728	14807
793	9742	14797
794	9759	14792
795	9775	14785
796	9793	14782
797	9811	14778
798	9826	14770
799	9844	14766
800	9860	14759
801	9874	14750
802	9890	14743
803	9907	14737
804	9923	14731
805	9941	14727
806	9953	14715
807	9965	14701
808	9980	14692
809	9995	14684
810	10010	14675
811	10025	14667
812	10040	14660
813	10056	14652
814	10073	14646
815	10091	14642
816	10108	14637
817	10124	14629
818	10140	14622
819	10154	14613
820	10167	14601
821	10183	14594
822	10200	14588
823	10216	14581
824	10232	14573
825	10247	14564
826	10259	14551
827	10269	14535
828	10280	14522
829	10292	14508
830	10303	14494
831	10315	14481
832	10326	14467
833	10337	14452
834	10345	14434
835	10352	14414
836	10360	14395
837	10367	14375
838	10375	14357
839	10382	14338
840	10391	14321
841	10401	14304
842	10410	14288
843	10418	14269
844	10427	14252
845	10435	14234
846	10443	14216
847	10451	14198
848	10459	14180
849	10467	14162
850	10476	14144
851	10486	14129
852	10498	14116
853	10510	14104
854	10523	14093
855	10536	14081
856	10547	14067
857	10558	14053
858	10571	14042
859	10582	14028
860	10593	14013
861	10607	14003
862	10621	13993
863	10635	13983
864	10649	13973
865	10664	13965
866	10680	13957
867	10695	13948
868	10708	13937
869	10724	13930
870	10740	13921
871	10753	13910
872	10767	13900
873	10783	13893
874	10801	13887
875	10819	13882
876	10838	13878
877	10856	13873
878	10872	13866
879	10889	13859
880	10910	13857
881	10927	13851
882	10940	13839
883	10952	13827
884	10968	13819
885	10985	13812
886	11002	13805
887	11017	13797
888	11033	13788
889	11049	13780
890	11066	13773
891	11079	13762
892	11090	13747
893	11100	13733
894	11111	13718
895	11122	13704
896	11134	13691
897	11145	13677
898	11157	13664
899	11167	13649
900	11178	13634
901	11189	13620
902	11202	13609
903	11214	13596
904	11227	13584
905	11239	13572
906	11252	13559
907	11262	13545
908	11276	13534
909	11292	13525
910	11306	13516
911	11323	13508
912	11338	13499
913	11355	13492
914	11372	13485
915	11388	13477
916	11403	13467
917	11422	13462
918	11440	13457
919	11457	13449
920	11477	13445
921	11497	13443
922	11517	13439
923	11537	13435
924	11558	13432
925	11576	13426
926	11597	13424
927	11614	13416
928	11629	13407
929	11640	13392
930	11651	13379
931	11663	13365
932	11674	13350
933	11686	13338
934	11704	13331
935	11721	13324
936	11738	13317
937	11751	13305
938	11764	13292
939	11775	13278
940	11785	13263
941	11797	13250
942	11809	13236
943	11818	13220
944	11827	13204
945	11835	13186
946	11846	13172
947	11856	13157
948	11864	13140
949	11874	13124
950	11887	13112
951	11901	13101
952	11920	13096
953	11937	13088
954	11953	13079
955	11971	13073
956	11988	13065
957	12003	13056
958	12016	13044
959	12031	13034
960	12045	13023
961	12060	13012
962	12075	13003
963	12091	12994
964	12109	12988
965	12126	12980
966	12144	12973
967	12163	12967
968	12179	12959
969	12194	12948
970	12206	12935
971	12220	12924
972	12234	12913
973	12250	12904
974	12266	12895
975	12282	12886
976	12299	12878
977	12314	12868
978	12331	12860
979	12347	12851
980	12356	12834
981	12364	12818
982	12373	12801
983	12383	12786
984	12393	12770
985	12403	12755
986	12415	12742
987	12427	12729
988	12436	12712
989	12447	12699
990	12458	12684
991	12471	12672
992	12488	12664
993	12506	12657
994	12523	12648
995	12536	12636
996	12547	12623
997	12561	12611
998	12574	12599
999	12589	12589
1000	12599	12574
1001	12614	12564
1002	12627	12552
1003	12640	12540
1004	12652	12526
1005	12664	12513
1006	12679	12503
1007	12697	12496
1008	12717	12491
1009	12738	12485
1010	12755	12477
1011	12774	12471
1012	12793	12465
1013	12806	12453
1014	12826	12447
1015	12841	12437
1016	12854	12424
1017	12865	12410
1018	12877	12396
1019	12887	12382
1020	12898	12367
1021	12909	12353
1022	12923	12342
1023	12938	12331
1024	12953	12321
1025	12967	12310
1026	12982	12299
1027	12997	12289
1028	13016	12282
1029	13033	12274
1030	13053	12268
1031	13072	12261
1032	13091	12255
1033	13110	12248
1034	13130	12242
1035	13149	12235
1036	13168	12228
1037	13185	12220
1038	13203	12212
1039	13221	12204
1040	13238	12195
1041	13253	12184
1042	13269	12175
1043	13284	12165
1044	13300	12154
1045	13314	12143
1046	13329	12132
1047	13345	12123
1048	13363	12114
1049	13380	12106
1050	13399	12099
1051	13419	12092
1052	13436	12083
1053	13453	12074
1054	13469	12064
1055	13483	12053
1056	13497	12041
1057	13512	12030
1058	13527	12019
1059	13541	12008
1060	13558	11999
1061	13573	11989
1062	13602	11990
1063	13620	11981
1064	13635	11971
1065	13651	11960
1066	13662	11946
1067	13670	11929
1068	13680	11914
1069	13692	11900
1070	13704	11887
1071	13713	11871
1072	13722	11855
1073	13732	11840
1074	13743	11825
1075	13752	11809
1076	13763	11795
1077	13773	11779
1078	13782	11763
1079	13795	11751
1080	13805	11736
1081	13816	11722
1082	13826	11706
1083	13836	11692
1084	13848	11678
1085	13860	11665
1086	13873	11652
1087	13884	11638
1088	13895	11624
1089	13908	11611
1090	13922	11599
1091	13933	11585
1092	13944	11571
1093	13955	11557
1094	13965	11542
1095	13975	11527
1096	13988	11514
1097	13999	11500
1098	14011	11487
1099	14023	11473
1100	14031	11457
1101	14042	11442
1102	14051	11427
1103	14061	11411
1104	14070	11396
1105	14081	11382
1106	14091	11367
1107	14103	11353
1108	14114	11339
1109	14126	11326
1110	14136	11311
1111	14149	11298
1112	14158	11283
1113	14167	11268
1114	14177	11252
1115	14187	11238
1116	14196	11222
1117	14207	11208
1118	14219	11194
1119	14230	11181
1120	14242	11167
1121	14253	11154
1122	14265	11140
1123	14279	11128
1124	14293	11116
1125	14305	11104
1126	14317	11090
1127	14331	11079
1128	14345	11067
1129	14356	11053
1130	14368	11040
1131	14381	11027
1132	14392	11013
1133	14403	10999
1134	14416	10986
1135	14426	10972
1136	14437	10958
1137	14448	10944
1138	14457	10928
1139	14466	10913
1140	14479	10900
1141	14489	10886
1142	14499	10871
1143	14511	10858
1144	14524	10846
1145	14538	10833
1146	14552	10822
1147	14567	10811
1148	14579	10798
1149	14591	10785
1150	14601	10770
1151	14612	10756
1152	14633	10749
1153	14644	10736
1154	14653	10720
1155	14662	10704
1156	14671	10689
1157	14680	10674
1158	14688	10658
1159	14697	10643
1160	14707	10628
1161	14717	10614
1162	14727	10598
1163	14736	10584
1164	14746	10569
1165	14760	10557
1166	14775	10546
1167	14787	10533
1168	14800	10520
1169	14813	10508
1170	14828	10497
1171	14845	10487
1172	14886	10495
1173	14901	10484
1174	14933	10485
1175	14949	10474
1176	14963	10462
1177	14976	10450
1178	14991	10439
1179	15005	10427
1180	15016	10413
1181	15025	10398
1182	15034	10383
1183	15046	10370
1184	15059	10357
1185	15072	10345
1186	15085	10332
1187	15100	10321
1188	15114	10309
1189	15127	10297
1190	15139	10283
1191	15149	10269
1192	15160	10255
1193	15175	10244
1194	15184	10228
1195	15192	10213
1196	15201	10198
1197	15210	10182
1198	15218	10166
1199	15227	10151
1200	15234	10135
1201	15244	10120
1202	15255	10106
1203	15267	10093
1204	15277	10079
1205	15287	10064
1206	15297	10050
1207	15308	10037
1208	15320	10023
1209	15332	10010
1210	15345	9998
1211	15360	9986
1212	15374	9975
1213	15386	9961
1214	15396	9947
1215	15407	9933
1216	15416	9918
1217	15425	9904
1218	15435	9889
1219	15444	9874
1220	15457	9862
1221	15468	9848
1222	15479	9834
1223	15492	9821
1224	15506	9810
1225	15520	9798
1226	15532	9785
1227	15546	9773
1228	15559	9760
1229	15571	9747
1230	15580	9733
1231	15592	9720
1232	15604	9706
1233	15616	9693
1234	15626	9679
1235	15637	9666
1236	15649	9652
1237	15658	9637
1238	15667	9623
1239	15675	9607
1240	15684	9592
1241	15691	9576
1242	15700	9561
1243	15708	9546
1244	15717	9531
1245	15725	9516
1246	15736	9502
1247	15747	9489
1248	15758	9474
1249	15767	9460
1250	15779	9447
1251	15791	9434
1252	15805	9423
1253	15820	9411
1254	15834	9399
1255	15847	9387
1256	15862	9376
1257	15876	9364
1258	15889	9352
1259	15905	9341
1260	15920	9330
1261	15937	9319
1262	15951	9308
1263	15965	9296
1264	15979	9284
1265	15990	9271
1266	16001	9257
1267	16011	9243
1268	16022	9229
1269	16032	9215
1270	16044	9202
1271	16059	9191
1272	16071	9178
1273	16085	9166
1274	16102	9156
1275	16117	9144
1276	16126	9130
1277	16137	9116
1278	16144	9101
1279	16154	9086
1280	16162	9071
1281	16170	9056
1282	16178	9041
1283	16188	9027
1284	16199	9013
1285	16209	8999
1286	16221	8986
1287	16235	8975
1288	16249	8963
1289	16261	8950
1290	16274	8937
1291	16289	8926
1292	16304	8915
1293	16319	8904
1294	16338	8894
1295	16351	8882
1296	16367	8871
